"title","director","release_year","reference_year","entertainment","history","imdb_url","imdb_rating","img_url","img_title","history_numeric","entertainment_numeric","histertainment_numeric"
"Gallipoli","Peter Weir",1981,"1915","A-","A-","https://www.imdb.com/title/tt0082432/",7.4,"https://m.media-amazon.com/images/M/MV5BZjM5ZDNlOGUtMjhlOS00NjNiLTg4M2MtNzVhMDY3MDlkYzg4XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UY268_CR0,0,182,268_AL_.jpg","gallipoli.jpg",12,12,24
"Gandhi","Richard Attenborough",1982,"1900-48","B","C+","https://www.imdb.com/title/tt0083987/",8,"https://m.media-amazon.com/images/M/MV5BMzJiZDRmOWUtYjE2MS00Mjc1LTg1ZDYtNTQxYWJkZTg1OTM4XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg","gandhi.jpg",8,10,18
"The Right Stuff","Philip Kaufman",1983,"1959","A-","A","https://www.imdb.com/title/tt0086197/",7.8,"https://m.media-amazon.com/images/M/MV5BOTUwMDA3MTYtZjhjMi00ODFmLTg5ZTAtYzgwN2NlODgzMmUwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg","therightstuff.jpg",13,12,25
"The Killing Fields","Roland Joffe",1984,"1973","A-","A-","https://www.imdb.com/title/tt0087553/",7.8,"https://m.media-amazon.com/images/M/MV5BMGI0NzI5YjAtNTg0MS00NDA2LWE5ZWItODRmOTAxOTAxYjg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg","thekillingfields.jpg",12,12,24
"Ran","Akira Kurosawa",1985,"1570","A-","B+","https://www.imdb.com/title/tt0089881/",8.2,"https://m.media-amazon.com/images/M/MV5BZDBjZTM4ZmEtOTA5ZC00NTQzLTkyNzYtMmUxNGU2YjI5YjU5L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY268_CR3,0,182,268_AL_.jpg","ran.jpg",11,12,23
"Lady Jane","Trevor Nunn",1986,"1553","C+","D+","https://www.imdb.com/title/tt0091374/",7.1,"https://m.media-amazon.com/images/M/MV5BZWE4OGM1NjAtNGU4ZC00ZTYyLWJkZDktNjFhYThlYjFhMTI3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg","ladyjane.jpg",5,8,13
"The Mission","Roland Joffe",1986,"1756","B","B","https://www.imdb.com/title/tt0091530/",7.4,"https://m.media-amazon.com/images/M/MV5BMjQ3MDczZmUtZmFlMy00YzFlLTlmNmMtYTE2NTZiNTJjM2UzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","themission.jpg",10,10,20
"Cry Freedom","Richard Attenborough",1987,"1976","C+","C","https://www.imdb.com/title/tt0092804/",7.4,"https://m.media-amazon.com/images/M/MV5BZGRlYmNjYzgtM2QzYS00MWI1LWFmM2YtOWY1Zjc3MThlYWUyXkEyXkFqcGdeQXVyODU2MDg1NzU@._V1_UY268_CR4,0,182,268_AL_.jpg","cryfreedom.jpg",7,8,15
"Henry V","Kennet Branagh",1989,"1415","A","C+","https://www.imdb.com/title/tt0097499/",7.5,"https://m.media-amazon.com/images/M/MV5BODdlYzU0ZGYtNWQ1YS00Nzk4LTllZTItZTEyNjkxMWI5ODk4L2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg","henryv.jpg",8,13,21
"JFK","Oliver Stone",1991,"1963","B","Fail","https://www.imdb.com/title/tt0102138/",8,"https://m.media-amazon.com/images/M/MV5BYjYyODExMDctZjgwYy00ZjQwLWI4OWYtOGFlYjA4ZjEzNmY1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","jfk.jpg",0,10,10
"Robin Hood: Prince of Thieves","Kevin Reynolds",1991,"1194","D+","Fail","https://www.imdb.com/title/tt0102798/",6.9,"https://m.media-amazon.com/images/M/MV5BODM3MjA3NDM3M15BMl5BanBnXkFtZTgwMDc1NjUwMjI@._V1_UX182_CR0,0,182,268_AL_.jpg","robinhoodprinceofthieves.jpg",0,5,5
"Conquest of Paradise","Ridley Scott",1992,"1492","D","D-","https://www.imdb.com/title/tt0103594/",6.5,"https://m.media-amazon.com/images/M/MV5BZDViYzU4ZGUtN2IyMi00YzljLWJiMGUtNDljZTk4MGUxOWI4L2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg","conquestofparadise.jpg",3,4,7
"Immortal Beloved","Bernard Rose",1994,"1820","C","Fail","https://www.imdb.com/title/tt0110116/",7.4,"https://m.media-amazon.com/images/M/MV5BOTgyZTYzZGItYzIzMi00YTBkLTk0ZTktOTg2ZTM3NDcwYjAxXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg","immortalbeloved.jpg",0,7,7
"The Madness of King George","Nicholas Hytner",1994,"1788","A-","A-","https://www.imdb.com/title/tt0110428/",7.2,"https://m.media-amazon.com/images/M/MV5BMTNiNzk1YjMtODViOC00MjUyLWI3MmMtZjhkMjlkYTM0NjU2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR0,0,182,268_AL_.jpg","themadnessofkinggeorge.jpg",12,12,24
